S.No,CHK_ACCT,Duration,History,Purpose of credit,Credit Amount,Balance in Savings A/C,Employment,Install_rate,Marital status,S.No.,Co-applicant,Present Resident,Real Estate,Age,Other installment,Residence,Num_Credits,Job,No. dependents,Phone,Foreign,Credit classification
96,less-200DM,54, all-paid-duly, business,15945, less100DM, one-year,3, single-male,96, none,4, none,58, none, rent,1, skilled,1, no, yes, bad.
97,no-account,12, critical, education,2012, unknown, seven-years,4, female-divorced,97, none,2, car,61, none, own,1, skilled,1, yes, yes, good.
98,less-200DM,18, duly-till-now, business,2622, less500DM, four-years,4, single-male,98, none,4, car,34, none, own,1, skilled,1, yes, yes, good.
99,less-200DM,36, critical, radio-tv,2337, less100DM, over-seven,4, single-male,99, none,4, real-estate,36, none, own,1, skilled,1, yes, yes, good.
100,less-200DM,20, delay, used-car,7057, unknown, seven-years,3, single-male,100, none,4, building-society,36, bank, rent,2, management,2, no, yes, good.
101,no-account,24, duly-till-now, new-car,1469, less500DM, over-seven,4, married-male,101, none,4, real-estate,41, none, rent,1, unskilled-resident,1, yes, yes, good.
102,less-200DM,36, duly-till-now, radio-tv,2323, less100DM, seven-years,4, single-male,102, none,4, car,24, none, rent,1, skilled,1, yes, yes, good.
103,no-account,6, delay, radio-tv,932, less100DM, four-years,3, female-divorced,103, none,2, real-estate,24, none, own,1, skilled,1, yes, yes, good.
104,less-200DM,9, critical, furniture,1919, less100DM, seven-years,4, single-male,104, none,3, car,35, none, rent,1, skilled,1, no, yes, good.
105,no-account,12, duly-till-now, used-car,2445, unknown, one-year,2, married-male,105, none,4, car,26, none, rent,1, skilled,1, no, yes, good.
106,less-200DM,24, critical, others,11938, less100DM, four-years,2, single-male,106, co-applicant,3, car,39, none, own,2, management,2, no, yes, bad.
107,no-account,18, bank-paid-duly, new-car,6458, less100DM, over-seven,2, single-male,107, none,4, none,39, bank, own,2, management,2, no, yes, bad.
108,less-200DM,12, duly-till-now, new-car,6078, less100DM, seven-years,2, single-male,108, none,2, car,32, none, own,1, skilled,1, yes, yes, good.
109,0DM,24, duly-till-now, furniture,7721, unknown, one-year,1, female-divorced,109, none,2, building-society,30, none, own,1, skilled,1, no, no, good.
110,less-200DM,14, duly-till-now, business,1410, less1000DM, over-seven,1, married-male,110, none,2, real-estate,35, none, own,1, skilled,1, no, yes, good.
111,less-200DM,6, delay, business,1449, less500DM, over-seven,1, male-divorced,111, none,2, car,31, bank, own,2, skilled,2, yes, yes, good.
112,over-200DM,15, duly-till-now, education,392, less100DM, one-year,4, female-divorced,112, none,4, building-society,23, none, rent,1, skilled,1, no, yes, good.
113,less-200DM,18, duly-till-now, new-car,6260, less100DM, seven-years,3, single-male,113, none,3, real-estate,28, none, rent,1, unskilled-resident,1, yes, yes, good.
114,no-account,36, critical, new-car,7855, less100DM, four-years,4, female-divorced,114, none,2, real-estate,25, stores, own,2, skilled,1, no, yes, bad.
115,0DM,12, duly-till-now, radio-tv,1680, less1000DM, over-seven,3, married-male,115, none,1, real-estate,35, none, own,1, skilled,1, yes, yes, good.
116,no-account,48, critical, radio-tv,3578, unknown, over-seven,4, single-male,116, none,1, real-estate,47, none, own,1, skilled,1, no, yes, good.
117,0DM,42, duly-till-now, radio-tv,7174, unknown, seven-years,4, female-divorced,117, none,3, car,30, none, own,1, management,1, no, yes, bad.
118,0DM,10, critical, furniture,2132, unknown, one-year,2, female-divorced,118, co-applicant,3, real-estate,27, none, rent,2, skilled,1, yes, no, good.
119,0DM,33, critical, furniture,4281, less1000DM, four-years,1, female-divorced,119, none,4, car,23, none, own,2, skilled,1, yes, yes, bad.
120,less-200DM,12, critical, new-car,2366, less1000DM, seven-years,3, male-divorced,120, none,3, car,36, none, own,1, management,1, no, yes, good.
121,0DM,21, duly-till-now, radio-tv,1835, less100DM, four-years,3, female-divorced,121, none,2, real-estate,25, none, own,2, skilled,1, no, yes, bad.
122,no-account,24, critical, used-car,3868, less100DM, over-seven,4, female-divorced,122, none,2, car,41, none, rent,2, management,1, no, yes, good.
123,no-account,12, duly-till-now, furniture,1768, less100DM, four-years,3, single-male,123, none,2, real-estate,24, none, rent,1, unskilled-resident,1, yes, yes, good.
124,over-200DM,10, critical, new-car,781, less100DM, over-seven,4, single-male,124, none,4, none,63, none, free,2, skilled,1, no, yes, good.
125,less-200DM,18, duly-till-now, furniture,1924, unknown, one-year,4, female-divorced,125, none,3, real-estate,27, none, rent,1, skilled,1, yes, yes, bad.
126,0DM,12, critical, new-car,2121, less100DM, four-years,4, single-male,126, none,2, building-society,30, none, own,2, skilled,1, yes, yes, good.
127,0DM,12, duly-till-now, radio-tv,701, less100DM, four-years,4, married-male,127, none,2, real-estate,40, none, own,1, unskilled-resident,1, yes, yes, good.
128,less-200DM,12, duly-till-now, repairs,639, less100DM, four-years,4, single-male,128, none,2, car,30, none, own,1, skilled,1, yes, yes, bad.
129,less-200DM,12, critical, used-car,1860, less100DM, unemployed,4, single-male,129, none,2, car,34, none, own,2, management,1, no, yes, good.
130,0DM,12, critical, new-car,3499, less100DM, four-years,3, female-divorced,130, co-applicant,2, real-estate,29, none, own,2, skilled,1, yes, yes, bad.
131,less-200DM,48, duly-till-now, new-car,8487, unknown, seven-years,1, female-divorced,131, none,2, car,24, none, own,1, skilled,1, yes, yes, good.
132,0DM,36, delay, education,6887, less100DM, four-years,4, single-male,132, none,3, building-society,29, stores, own,1, skilled,1, no, yes, bad.
133,no-account,15, duly-till-now, furniture,2708, less100DM, one-year,2, single-male,133, none,3, building-society,27, bank, own,2, unskilled-resident,1, yes, yes, good.
134,no-account,18, duly-till-now, furniture,1984, less100DM, four-years,4, single-male,134, none,4, none,47, bank, free,2, skilled,1, yes, yes, good.
135,no-account,60, duly-till-now, radio-tv,10144, less500DM, seven-years,2, female-divorced,135, none,4, real-estate,21, none, own,1, skilled,1, no, yes, good.
136,no-account,12, critical, radio-tv,1240, unknown, over-seven,4, female-divorced,136, none,2, real-estate,38, none, own,2, skilled,1, no, yes, good.
137,no-account,27, delay, used-car,8613, over1000DM, four-years,2, single-male,137, none,2, car,27, none, own,2, skilled,1, yes, yes, good.
138,less-200DM,12, duly-till-now, radio-tv,766, less1000DM, four-years,4, single-male,138, none,3, real-estate,66, none, own,1, unskilled-resident,1, yes, yes, bad.
139,less-200DM,15, critical, radio-tv,2728, unknown, seven-years,4, single-male,139, guarantor,2, real-estate,35, bank, own,3, skilled,1, no, yes, good.
140,over-200DM,12, duly-till-now, radio-tv,1881, less100DM, four-years,2, female-divorced,140, none,2, car,44, none, rent,1, unskilled-resident,1, no, yes, good.
141,over-200DM,6, duly-till-now, new-car,709, over1000DM, one-year,2, married-male,141, none,2, real-estate,27, none, own,1, unemployed-non-resident,1, yes, no, good.
142,less-200DM,36, duly-till-now, radio-tv,4795, less100DM, one-year,4, female-divorced,142, none,1, none,30, none, own,1, management,1, no, yes, good.
143,0DM,27, duly-till-now, radio-tv,3416, less100DM, four-years,3, single-male,143, none,2, car,27, none, own,1, management,1, yes, yes, good.
144,0DM,18, duly-till-now, furniture,2462, less100DM, four-years,2, single-male,144, none,2, car,22, none, own,1, skilled,1, yes, yes, bad.
145,no-account,21, critical, furniture,2288, less100DM, one-year,4, female-divorced,145, none,4, building-society,23, none, own,1, skilled,1, no, yes, good.
146,less-200DM,48, bank-paid-duly, business,3566, less500DM, seven-years,4, single-male,146, none,2, car,30, none, own,1, skilled,1, yes, yes, good.
147,0DM,6, critical, new-car,860, less100DM, over-seven,1, female-divorced,147, none,4, none,39, none, own,2, skilled,1, no, yes, good.
148,no-account,12, critical, new-car,682, less500DM, seven-years,4, female-divorced,148, none,3, car,51, none, own,2, skilled,1, no, yes, good.
149,0DM,36, critical, furniture,5371, less100DM, four-years,3, single-male,149, guarantor,2, building-society,28, none, own,2, skilled,1, yes, yes, good.
150,no-account,18, critical, radio-tv,1582, over1000DM, over-seven,4, single-male,150, none,4, car,46, none, own,2, skilled,1, yes, yes, good.
151,no-account,6, duly-till-now, radio-tv,1346, less500DM, over-seven,2, single-male,151, none,4, none,42, bank, free,1, skilled,2, no, yes, good.
152,no-account,10, duly-till-now, radio-tv,1924, less100DM, four-years,1, single-male,152, none,4, building-society,38, none, own,1, skilled,1, no, no, good.
153,over-200DM,36, duly-till-now, radio-tv,5848, less100DM, four-years,4, single-male,153, none,1, car,24, none, own,1, skilled,1, yes, yes, good.
154,less-200DM,24, critical, used-car,7758, over1000DM, over-seven,2, female-divorced,154, none,4, none,29, none, rent,1, skilled,1, yes, yes, good.
155,less-200DM,24, delay, business,6967, less500DM, seven-years,4, single-male,155, none,4, car,36, none, rent,1, management,1, no, yes, good.
156,0DM,12, duly-till-now, furniture,1282, less100DM, four-years,2, female-divorced,156, none,4, car,20, none, rent,1, skilled,1, yes, yes, bad.
157,0DM,9, critical, repairs,1288, less500DM, over-seven,3, single-male,157, guarantor,4, real-estate,48, none, own,2, skilled,2, yes, no, good.
158,0DM,12, bank-paid-duly, retraining,339, less100DM, over-seven,4, married-male,158, none,1, car,45, bank, own,1, unskilled-resident,1, yes, yes, good.
159,less-200DM,24, duly-till-now, new-car,3512, less500DM, seven-years,2, single-male,159, none,3, car,38, bank, own,2, skilled,1, no, yes, good.
160,no-account,6, critical, radio-tv,1898, unknown, four-years,1, single-male,160, none,2, real-estate,34, none, own,2, unskilled-resident,2, yes, yes, good.
161,no-account,24, critical, radio-tv,2872, less500DM, over-seven,3, single-male,161, none,4, real-estate,36, none, own,1, skilled,2, no, yes, good.
162,no-account,18, critical, new-car,1055, less100DM, one-year,4, female-divorced,162, none,1, building-society,30, none, own,2, skilled,1, yes, yes, good.
163,no-account,15, duly-till-now, domestic-app,1262, less1000DM, seven-years,4, single-male,163, none,3, building-society,36, none, own,2, skilled,1, no, yes, good.
164,less-200DM,10, duly-till-now, new-car,7308, less100DM, unemployed,2, single-male,164, none,4, none,70, bank, free,1, management,1, no, yes, good.
165,no-account,36, duly-till-now, new-car,909, less1000DM, over-seven,4, single-male,165, none,4, building-society,36, none, own,1, skilled,1, yes, yes, good.
166,no-account,6, duly-till-now, furniture,2978, less1000DM, four-years,1, single-male,166, none,2, car,32, none, own,1, skilled,1, no, yes, good.
167,0DM,18, duly-till-now, furniture,1131, less100DM, unemployed,4, female-divorced,167, none,2, car,33, none, own,1, skilled,1, yes, yes, bad.
168,less-200DM,11, duly-till-now, furniture,1577, over1000DM, one-year,4, female-divorced,168, none,1, real-estate,20, none, own,1, skilled,1, yes, yes, good.
169,no-account,24, duly-till-now, furniture,3972, less100DM, seven-years,2, female-divorced,169, none,4, building-society,25, none, rent,1, skilled,1, no, yes, good.
170,less-200DM,24, critical, business,1935, less100DM, over-seven,4, male-divorced,170, none,4, real-estate,31, none, own,2, skilled,1, no, yes, bad.
171,0DM,15, all-paid-duly, new-car,950, less100DM, over-seven,4, single-male,171, none,3, car,33, none, rent,2, skilled,2, yes, yes, bad.
172,no-account,12, duly-till-now, furniture,763, less100DM, four-years,4, female-divorced,172, none,1, real-estate,26, none, own,1, skilled,1, no, yes, good.
173,less-200DM,24, delay, furniture,2064, less100DM, unemployed,3, female-divorced,173, none,2, building-society,34, none, own,1, management,1, no, yes, bad.
174,less-200DM,8, duly-till-now, radio-tv,1414, less100DM, four-years,4, single-male,174, guarantor,2, real-estate,33, none, own,1, skilled,1, yes, no, good.
175,0DM,21, delay, education,3414, less100DM, one-year,2, single-male,175, none,1, building-society,26, none, own,2, skilled,1, yes, yes, bad.
176,no-account,30, bank-paid-duly, used-car,7485, unknown, unemployed,4, female-divorced,176, none,1, real-estate,53, bank, own,1, management,1, no, yes, bad.
177,0DM,12, duly-till-now, furniture,2577, less100DM, four-years,2, male-divorced,177, none,1, car,42, none, own,1, skilled,1, yes, yes, good.
178,0DM,6, critical, radio-tv,338, less1000DM, over-seven,4, single-male,178, none,4, car,52, none, own,2, skilled,1, yes, yes, good.
179,no-account,12, duly-till-now, radio-tv,1963, less100DM, seven-years,4, single-male,179, none,2, car,31, none, rent,2, management,2, no, yes, good.
180,0DM,21, critical, new-car,571, less100DM, over-seven,4, single-male,180, none,4, real-estate,65, none, own,2, skilled,1, yes, yes, good.
181,no-account,36, delay, business,9572, less100DM, one-year,1, male-divorced,181, none,1, car,28, none, own,2, skilled,1, yes, yes, bad.
182,less-200DM,36, delay, business,4455, less100DM, four-years,2, male-divorced,182, none,2, real-estate,30, stores, own,2, management,1, no, yes, bad.
183,0DM,21, bank-paid-duly, new-car,1647, unknown, four-years,4, single-male,183, none,2, building-society,40, none, own,2, unskilled-resident,2, yes, yes, bad.
184,no-account,24, critical, furniture,3777, over1000DM, four-years,4, single-male,184, none,4, real-estate,50, none, own,1, skilled,1, no, yes, good.
185,less-200DM,18, critical, new-car,884, less100DM, over-seven,4, single-male,185, none,4, car,36, bank, own,1, skilled,2, no, yes, bad.
186,no-account,15, critical, radio-tv,1360, less100DM, four-years,4, single-male,186, none,2, building-society,31, none, own,2, skilled,1, yes, yes, good.
187,less-200DM,9, bank-paid-duly, used-car,5129, less100DM, over-seven,2, female-divorced,187, none,4, none,74, bank, free,1, management,2, no, yes, bad.
188,less-200DM,16, critical, new-car,1175, less100DM, unemployed,2, single-male,188, none,3, car,68, none, free,3, unemployed-non-resident,1, no, yes, good.
189,0DM,12, duly-till-now, radio-tv,674, less500DM, seven-years,4, married-male,189, none,1, building-society,20, none, own,1, skilled,1, yes, yes, bad.
190,less-200DM,18, all-paid-duly, furniture,3244, less100DM, four-years,1, female-divorced,190, none,4, car,33, bank, own,2, skilled,1, no, yes, good.
191,no-account,24, duly-till-now, business,4591, over1000DM, four-years,2, single-male,191, none,3, building-society,54, none, own,3, management,1, no, yes, bad.
192,less-200DM,48, all-paid-duly, business,3844, less500DM, seven-years,4, single-male,192, none,4, none,34, none, free,1, unskilled-resident,2, yes, yes, bad.
193,less-200DM,27, duly-till-now, business,3915, less100DM, four-years,4, single-male,193, none,2, car,36, none, own,1, skilled,2, no, yes, bad.
194,no-account,6, duly-till-now, radio-tv,2108, less100DM, seven-years,2, married-male,194, none,2, real-estate,29, none, rent,1, skilled,1, yes, yes, good.
